State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,16.00,02-Jan-2008
Karnataka,KK,Belgaum,Bailahongal,Onion,23,2.00,04-Jan-2008
Karnataka,KK,Gadag,Gadag,Onion,23,80.00,04-Jan-2008
Karnataka,KK,Hassan,Hassan,Onion,23,3.00,04-Jan-2008
Karnataka,KK,Raichur,Raichur,Onion,23,50.00,04-Jan-2008
Karnataka,KK,Belgaum,Belgaum,Onion,23,572.00,05-Jan-2008
Karnataka,KK,Chikmagalur,Tarikere,Onion,23,5.00,05-Jan-2008
Karnataka,KK,Davangere,Davangere,Onion,23,2.00,05-Jan-2008
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,650.00,05-Jan-2008
Karnataka,KK,Gadag,Gadag,Onion,23,170.00,05-Jan-2008
Karnataka,KK,Hassan,Arasikere,Onion,23,4.00,05-Jan-2008
Karnataka,KK,Hassan,Hassan,Onion,23,7.00,05-Jan-2008
Karnataka,KK,Haveri,Ranebennur,Onion,23,86.00,05-Jan-2008
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,7.00,05-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,135.00,05-Jan-2008
Karnataka,KK,Raichur,Raichur,Onion,23,24.00,05-Jan-2008
Karnataka,KK,Udupi,Kundapura,Onion,23,22.00,05-Jan-2008
Karnataka,KK,Mandya,K.R. Pet,Onion,23,3.00,06-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Onion,23,2414.00,07-Jan-2008
Karnataka,KK,Bellary,Hospet,Onion,23,11.00,07-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Onion,23,35.00,07-Jan-2008
Karnataka,KK,Chikmagalur,Chikkamagalore,Onion,23,5.00,07-Jan-2008
Karnataka,KK,Davangere,Davangere,Onion,23,20.00,07-Jan-2008
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,430.00,07-Jan-2008
Karnataka,KK,Gadag,Gadag,Onion,23,75.00,07-Jan-2008
Karnataka,KK,Hassan,Arasikere,Onion,23,4.00,07-Jan-2008
Karnataka,KK,Hassan,Hassan,Onion,23,3.00,07-Jan-2008
Karnataka,KK,Kolar,Kolar,Onion,23,1.00,07-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,452.00,07-Jan-2008
Karnataka,KK,Raichur,Raichur,Onion,23,18.00,07-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Onion,23,1.00,07-Jan-2008
Karnataka,KK,Tumkur,Tumkur,Onion,23,21.00,07-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Onion,23,1966.00,08-Jan-2008
Karnataka,KK,Bellary,Hospet,Onion,23,1.00,08-Jan-2008
Karnataka,KK,Davangere,Davangere,Onion,23,15.00,08-Jan-2008
Karnataka,KK,Hassan,Hassan,Onion,23,609.00,08-Jan-2008
Karnataka,KK,Kolar,Kolar,Onion,23,1.00,08-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,118.00,08-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Onion,23,1451.00,09-Jan-2008
Karnataka,KK,Bellary,Hospet,Onion,23,6.00,09-Jan-2008
Karnataka,KK,Davangere,Davangere,Onion,23,15.00,09-Jan-2008
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,100.00,09-Jan-2008
Karnataka,KK,Gadag,Gadag,Onion,23,32.00,09-Jan-2008
Karnataka,KK,Hassan,Hassan,Onion,23,4.00,09-Jan-2008
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,17.00,09-Jan-2008
Karnataka,KK,Kolar,Kolar,Onion,23,2.00,09-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,425.00,09-Jan-2008
Karnataka,KK,Udupi,Udupi,Onion,23,6.00,09-Jan-2008
Karnataka,KK,Bagalkot,Jamakhandi,Onion,23,30.00,10-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Onion,23,1265.00,10-Jan-2008
Karnataka,KK,Bangalore,Doddaballa Pur,Onion,23,12.00,10-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Onion,23,200.00,10-Jan-2008
